HeadX,HeadY,TailX,TailY,Start,End
228.66,1061.9,177.7,1042.3,295,303
722.62,442.52,750.06,393.51,296,302
461.92,1716.6,432.52,1679.4,298,315
1722.3,660.1,1661.5,652.26,300,303
1675.3,760.06,1724.3,744.38,301,303
928.44,424.88,869.64,424.88,303,315
1753.7,1467.7,1689,1489.2,303,310
1661.5,769.87,1708.6,738.5,304,307
128.69,669.9,148.29,628.73,304,310
1675.3,630.69,1620.4,650.3,308,320
1647.8,746.34,1694.9,722.82,308,310
1692.9,1418.7,1667.4,1365.8,308,312
299.23,1060,261.98,1022.7,309,313
644.22,1391.2,646.18,1338.3,309,380
685.38,377.83,644.22,348.43,309,311
97.329,687.54,128.69,656.18,310,314
1769.4,1506.9,1722.3,1467.7,310,338
1649.8,1581.4,1604.7,1608.8,311,319
1641.9,732.62,1587.1,756.14,312,313
1708.6,1387.3,1663.5,1381.4,312,315
1704.7,579.73,1651.7,575.81,312,320
1592.9,773.79,1638,750.26,313,325
1739.9,522.88,1681.1,515.04,313,366
1679.2,895.32,1632.1,911,315,340
1708.6,1342.2,1657.6,1369.7,315,317
1561.6,1273.6,1606.7,1301.1,317,360
391.35,1738.2,448.2,1757.8,319,323
1195,1773.5,1253.8,1793.1,319,324
471.72,1720.5,444.28,1673.5,320,357
1722.3,1791.1,1773.3,1791.1,320,322
1659.6,1759.8,1591,1753.9,320,322
1736,599.33,1692.9,616.97,322,325
1690.9,636.57,1649.8,671.86,322,323
524.65,505.24,477.6,534.65,322,349
320.79,1724.5,375.67,1734.3,323,334
1712.5,738.5,1726.2,691.46,325,338
1702.7,1495.1,1659.6,1522.6,328,355
1745.8,575.81,1704.7,613.05,332,365
1769.4,581.69,1745.8,622.85,332,340
1459.6,501.32,1404.8,475.84,332,333
1575.3,1406.9,1577.3,1348.1,333,348
1545.9,230.82,1522.4,175.94,333,336
1753.7,520.92,1700.7,517,334,341
1598.8,277.86,1538.1,262.18,336,349
1718.4,1702.9,1765.4,1722.5,336,352
1745.8,720.86,1687,716.94,338,346
1804.6,599.33,1753.7,560.13,345,346
1736,487.6,1726.2,534.65,346,349
1506.7,763.99,1453.8,773.79,346,357
1606.7,224.94,1551.8,248.46,349,350
536.16,494.7,503.15,533.54,349,465
1592.9,203.38,1557.7,242.58,351,352
145.85,1659.8,184.68,1698.6,352,353
209.06,1700.9,214.94,1761.7,354,368
1643,176.24,1580.9,191.77,355,375
1753.7,1655.9,1763.5,1714.7,356,363
1459.6,905.12,1416.5,914.92,358,365
1696.8,1485.3,1651.7,1504.9,358,363
1787,1524.5,1777.2,1457.9,359,363
1632.1,1328.5,1598.8,1287.4,360,370
1502.8,1446.1,1534.1,1408.9,361,416
1771.3,1695.1,1745.8,1644.1,363,364
1696.8,1534.3,1696.8,1483.4,363,369
1792.9,1595.1,1771.3,1536.3,364,366
1463.6,938.44,1410.6,901.2,365,367
1502.8,952.16,1442,928.64,367,370
1328.3,1665.7,1391,1689.2,368,375
1700.7,1642.1,1643.9,1644.1,369,374
1626.3,1128.6,1589,1171.7,370,415
1749.8,575.81,1718.4,595.41,371,381
197.3,1626.5,212.98,1683.3,374,383
1781.1,1648,1743.9,1604.9,374,386
1695.4,178.18,1627.5,168.47,375,377
1305.1,1632.6,1353.7,1661.8,375,376
1165.6,1620.6,1114.7,1604.9,376,381
1732.4,146.27,1667.4,125.85,377,396
1722.3,1695.1,1704.7,1655.9,379,391
1524.3,1571.6,1471.4,1573.5,381,492
1589,1140.3,1553.7,1089.4,381,388
142.77,1598.4,174.34,1654.2,383,398
993.13,1744.1,985.29,1799,383,388
618.73,1563.7,661.86,1530.4,387,0
944.12,1748,979.4,1773.5,388,413
1559.6,1512.8,1512.6,1497.1,389,392
1577.3,1495.1,1536.1,1538.3,393,401
1732.1,1763.7,1739.9,1700.9,394,404
1623.6,321.88,1573.1,294.69,396,402
1740.1,112.16,1685.7,143.23,396,402
99.289,1599,160.05,1604.9,398,404
685.38,1749.9,632.45,1761.7,404,422
118.89,1534.3,103.21,1597.1,404,411
1677.2,1428.5,1610.6,1436.3,404,406
1726.2,1354,1653.7,1363.8,406,413
1716.4,1751.9,1667.4,1775.4,410,412
101.25,1524.5,89.488,1587.3,412,417
1769.4,1316.8,1704.7,1332.4,414,426
986.84,1690.3,929.46,1708.1,415,475
1491,1403,1536.1,1432.4,416,419
1471.6,1429.2,1529,1401.5,419,488
114.97,1416.7,107.13,1471.6,423,430
1743.5,335.69,1749.1,389.54,424,431
1629.9,1007.7,1592.3,1007.7,426,452
1781.1,1354,1726.2,1330.5,426,428
1765.4,1391.2,1728.2,1346.2,428,431
1808,1508.3,1768.4,1563.7,432,469
1651.7,436.64,1689,399.39,432,439
